lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch
,,2999,1399.538330078125,10838.76953125,9439.2314453125,0.14995963871479034,0.0,-0.006978549528867006,0.0,0.0,-0.5150197744369507,-0.5149136185646057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3049,1476.3515625,11344.44921875,9868.09765625,0.15655425190925598,0.0,-0.007093505468219519,0.0,0.0,-0.5029993057250977,-0.49327176809310913,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3099,1504.579833984375,11340.3564453125,9835.7763671875,0.1561606079339981,0.0,-0.007208285387605429,0.0,0.0,-0.5056650638580322,-0.4979762136936188,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3149,1465.359130859375,10925.6201171875,9460.2607421875,0.15056845545768738,0.0,-0.007322988007217646,0.0,0.0,-0.5066158771514893,-0.49324390292167664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3199,1462.590087890625,11144.759765625,9682.169921875,0.15402603149414062,0.0,-0.007437758147716522,0.0,0.0,-0.5056811571121216,-0.49886059761047363,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3249,1450.86279296875,10911.1171875,9460.2548828125,0.15076154470443726,0.0,-0.007552425377070904,0.0,0.0,-0.5041312575340271,-0.4973459541797638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3299,1431.755126953125,10851.208984375,9419.4541015625,0.15024027228355408,0.0,-0.007667146623134613,0.0,0.0,-0.5122666954994202,-0.504559338092804,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3349,1420.512451171875,10956.3798828125,9535.8671875,0.15209932625293732,0.0,-0.007781749125570059,0.0,0.0,-0.5025069117546082,-0.5012655854225159,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3399,1459.625732421875,11008.82421875,9549.1982421875,0.15239739418029785,0.0,-0.007896333932876587,0.0,0.0,-0.507605254650116,-0.5051687955856323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
