lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1399,381.0123291015625,21228.984375,20847.97265625,0.32042717933654785,0.0,-0.0034053893759846687,0.0,0.0,-0.1171875,-0.11083984375,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1449,403.5620422363281,22635.376953125,22231.814453125,0.34154924750328064,0.0,-0.00352463754825294,0.0,0.0,-0.10986328125,-0.11572265625,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1499,405.470947265625,22812.3203125,22406.849609375,0.3442884683609009,0.0,-0.003643948584794998,0.0,0.0,-0.10302734375,-0.09326171875,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1549,373.727783203125,22900.96484375,22527.236328125,0.34619617462158203,0.0,-0.003762969048693776,0.0,0.0,-0.115234375,-0.11865234375,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1599,373.9036865234375,21497.236328125,21123.33203125,0.3249344229698181,0.0,-0.0038816567976027727,0.0,0.0,-0.10498046875,-0.10693359375,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1631,,,,,,,,,,,3,384.61248779296875,22446.23046875,22061.615234375,0.3389294147491455,0.0,-0.003474367083981633,0.0,0.0,-0.10632085055112839,-0.10389380156993866,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1649,402.1696472167969,21683.4609375,21281.291015625,0.3274151086807251,0.0,-0.004001036752015352,0.0,0.0,-0.10107421875,-0.09521484375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1699,396.6600341796875,21754.537109375,21357.876953125,0.3286585509777069,0.0,-0.004120132885873318,0.0,0.0,-0.11181640625,-0.09716796875,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1749,472.80810546875,22988.76171875,22515.953125,0.34633398056030273,0.0,-0.004238979425281286,0.0,0.0,-0.09619140625,-0.09423828125,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1799,417.29046630859375,21774.794921875,21357.50390625,0.3288111090660095,0.0,-0.004357233177870512,0.0,0.0,-0.0986328125,-0.1025390625,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1849,426.1361389160156,22649.244140625,22223.107421875,0.3420388996601105,0.0,-0.004475417081266642,0.0,0.0,-0.09619140625,-0.09765625,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1899,418.54901123046875,20789.904296875,20371.35546875,0.3139897286891937,0.0,-0.004592933692038059,0.0,0.0,-0.1064453125,-0.09130859375,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1949,414.3825378417969,21045.4765625,20631.09375,0.3180149793624878,0.0,-0.004711269401013851,0.0,0.0,-0.1103515625,-0.0947265625,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
