epoch,lr-Adam,lr-Adam-1,step,train/kl_loss_epoch,train/kl_loss_step,train/logits/fake_epoch,train/logits/fake_step,train/logits/real_epoch,train/logits/real_step,train/loss/disc_epoch,train/loss/disc_step,train/loss/g_epoch,train/loss/g_step,train/loss/nll_epoch,train/loss/nll_step,train/loss/rec_epoch,train/loss/rec_step,train/loss/total_epoch,train/loss/total_step,train/scalars/d_weight_epoch,train/scalars/d_weight_step,train/scalars/logvar_epoch,train/scalars/logvar_step,val/kl_loss,val/logits/fake,val/logits/real,val/loss/disc,val/loss/g,val/loss/nll,val/loss/rec,val/loss/total,val/metrics/psnr,val/metrics/ssim,val/scalars/d_weight,val/scalars/logvar,val_ema/kl_loss,val_ema/logits/fake,val_ema/logits/real,val_ema/loss/disc,val_ema/loss/g,val_ema/loss/nll,val_ema/loss/rec,val_ema/loss/total,val_ema/metrics/psnr,val_ema/metrics/ssim,val_ema/scalars/d_weight,val_ema/scalars/logvar
3,,,1599,,636.0,,-0.005828857421875,,-0.0205078125,,0.0,,0.0,,6144.0,,0.376953125,,6784.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1631,662.1961059570312,,-0.0021534550469368696,,-0.03374699875712395,,0.0,,0.0,,6281.2548828125,,0.38520604372024536,,6943.529296875,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1649,,628.0,,0.012451171875,,-0.044189453125,,0.0,,0.0,,6272.0,,0.384765625,,6912.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1699,,640.0,,0.010986328125,,-0.0279541015625,,0.0,,0.0,,6784.0,,0.416015625,,7424.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1749,,604.0,,0.010009765625,,-0.039306640625,,0.0,,0.0,,6048.0,,0.37109375,,6656.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1799,,612.0,,0.006622314453125,,-0.0289306640625,,0.0,,0.0,,6336.0,,0.388671875,,6944.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1849,,620.0,,0.0028533935546875,,-0.037109375,,0.0,,0.0,,6112.0,,0.373046875,,6720.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1899,,612.0,,0.016357421875,,-0.023193359375,,0.0,,0.0,,6368.0,,0.390625,,6976.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1949,,592.0,,0.0118408203125,,-0.032470703125,,0.0,,0.0,,5952.0,,0.365234375,,6528.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1999,,588.0,,0.00139617919921875,,-0.03466796875,,0.0,,0.0,,6048.0,,0.37109375,,6624.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
4,,,2039,,,,,,,,,,,,,,,,,,,,,598.3801879882812,-0.010972456075251102,-0.07141584157943726,1.1317579746246338,0.010972456075251102,6201.4765625,0.38037511706352234,6798.19287109375,15.772038459777832,0.1827436238527298,1.0,-0.001953125,598.3801879882812,-0.01112437155097723,-0.07141584157943726,1.1323820352554321,0.01112437155097723,6195.39404296875,0.379960834980011,6794.22607421875,15.787190437316895,0.1828915923833847,1.0,-0.001953125
4,,,2039,611.9215698242188,,0.00382863893173635,,-0.03462637960910797,,0.0,,0.0,,6164.39208984375,,0.3780350089073181,,6777.7255859375,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2049,,604.0,,0.00439453125,,-0.0301513671875,,0.0,,0.0,,5984.0,,0.365234375,,6592.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2099,,588.0,,0.014892578125,,-0.0225830078125,,0.0,,0.0,,5984.0,,0.3671875,,6560.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2149,,624.0,,0.01214599609375,,-0.0186767578125,,0.0,,0.0,,6784.0,,0.416015625,,7424.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2199,,588.0,,0.0133056640625,,-0.03564453125,,0.0,,0.0,,5856.0,,0.359375,,6432.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2249,,608.0,,0.010009765625,,-0.0361328125,,0.0,,0.0,,6304.0,,0.38671875,,6912.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
,4.5e-06,4.5e-06,2299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2299,,596.0,,0.0196533203125,,-0.0224609375,,0.0,,0.0,,6272.0,,0.384765625,,6880.0,,0.0,,-0.001953125,,,,,,,,,,,,,,,,,,,,,,,,
