lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,2549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2549,1843.507080078125,7844.5126953125,6001.00537109375,0.09695440530776978,0.0,-0.005966552998870611,0.0,0.0,-0.5191604495048523,-0.5159881114959717,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2599,1918.138916015625,8113.2568359375,6195.1181640625,0.1000019758939743,0.0,-0.006082057952880859,0.0,0.0,-0.5092526078224182,-0.5086849331855774,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2649,1869.962646484375,8039.1025390625,6169.1396484375,0.09971117973327637,0.0,-0.006197458598762751,0.0,0.0,-0.511389434337616,-0.5065328478813171,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2699,1841.86572265625,7870.48828125,6028.62255859375,0.09768348932266235,0.0,-0.0063125998713076115,0.0,0.0,-0.5242111682891846,-0.5232444405555725,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2749,1865.85693359375,7766.76953125,5900.91259765625,0.09585054218769073,0.0,-0.006427871063351631,0.0,0.0,-0.5083293914794922,-0.5039788484573364,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2799,1792.995849609375,8030.8271484375,6237.83154296875,0.10106132924556732,0.0,-0.006542980205267668,0.0,0.0,-0.4928550720214844,-0.4942985773086548,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2849,1847.036376953125,7793.4052734375,5946.369140625,0.09674608707427979,0.0,-0.006657977122813463,0.0,0.0,-0.5072262287139893,-0.5071982741355896,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2855,,,,,,,,,,,6,1855.0367431640625,7990.73388671875,6135.70166015625,0.09921018034219742,0.0,-0.00620409706607461,0.0,0.0,-0.508992612361908,-0.5068494081497192,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2899,1817.9599609375,7843.9326171875,6025.97265625,0.09805569052696228,0.0,-0.00677303783595562,0.0,0.0,-0.4996319115161896,-0.501179575920105,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2949,1933.8287353515625,7810.68505859375,5876.8564453125,0.09589893370866776,0.0,-0.006888069212436676,0.0,0.0,-0.5141994953155518,-0.5167571306228638,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2999,1856.080322265625,7787.544921875,5931.46484375,0.09682967513799667,0.0,-0.007003212813287973,0.0,0.0,-0.5109511017799377,-0.5076218247413635,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3049,1886.7724609375,7795.328125,5908.5556640625,0.09658573567867279,0.0,-0.007118315901607275,0.0,0.0,-0.499574214220047,-0.498870313167572,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3099,1909.22265625,7730.0498046875,5820.8271484375,0.0953599065542221,0.0,-0.007233419921249151,0.0,0.0,-0.5152521729469299,-0.5122572779655457,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
