lr-Adam,lr-Adam-1,step,train/kl_loss_step,train/loss/total_step,train/loss/nll_step,train/loss/rec_step,train/loss/g_step,train/scalars/logvar_step,train/scalars/d_weight_step,train/loss/disc_step,train/logits/real_step,train/logits/fake_step,epoch,train/kl_loss_epoch,train/loss/total_epoch,train/loss/nll_epoch,train/loss/rec_epoch,train/loss/g_epoch,train/scalars/logvar_epoch,train/scalars/d_weight_epoch,train/loss/disc_epoch,train/logits/real_epoch,train/logits/fake_epoch,val/loss/rec,val/kl_loss,val/loss/total,val/loss/nll,val/loss/g,val/scalars/logvar,val/scalars/d_weight,val/loss/disc,val/logits/real,val/logits/fake,val/metrics/psnr,val/metrics/ssim,val_ema/loss/rec,val_ema/kl_loss,val_ema/loss/total,val_ema/loss/nll,val_ema/loss/g,val_ema/scalars/logvar,val_ema/scalars/d_weight,val_ema/loss/disc,val_ema/logits/real,val_ema/logits/fake,val_ema/metrics/psnr,val_ema/metrics/ssim
4.5e-06,4.5e-06,1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1399,466.70843505859375,2445.157958984375,1978.449462890625,0.12366870045661926,0.0,-0.0033256951719522476,0.0,0.0,-0.48423492908477783,-0.4875176250934601,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1449,469.4508361816406,2396.305419921875,1926.8544921875,0.12063245475292206,0.0,-0.0034425898920744658,0.0,0.0,-0.4873755872249603,-0.4877478778362274,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1499,493.7586669921875,2326.22607421875,1832.467529296875,0.11499442160129547,0.0,-0.003559534437954426,0.0,0.0,-0.505841851234436,-0.5112432837486267,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1549,475.37261962890625,2328.62890625,1853.25634765625,0.11636155843734741,0.0,-0.003676333464682102,0.0,0.0,-0.49240002036094666,-0.4925968647003174,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1599,479.13311767578125,2290.701171875,1811.5679931640625,0.11392948031425476,0.0,-0.0037931054830551147,0.0,0.0,-0.48856890201568604,-0.4954264760017395,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1631,,,,,,,,,,,3,477.45361328125,2369.764892578125,1892.310546875,0.11848872154951096,0.0,-0.003393243532627821,0.0,0.0,-0.4891153872013092,-0.4903036057949066,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1649,483.96966552734375,2295.539794921875,1811.570068359375,0.11403258144855499,0.0,-0.003909842576831579,0.0,0.0,-0.48714157938957214,-0.4866073727607727,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1699,473.361083984375,2236.00048828125,1762.6395263671875,0.11116096377372742,0.0,-0.004026468377560377,0.0,0.0,-0.49480047821998596,-0.4935939311981201,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1749,475.72076416015625,2257.400390625,1781.6795654296875,0.11242138594388962,0.0,-0.004143028520047665,0.0,0.0,-0.48940837383270264,-0.483741819858551,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1799,473.3556213378906,2257.846435546875,1784.4908447265625,0.11269500106573105,0.0,-0.004259356297552586,0.0,0.0,-0.48594972491264343,-0.49257028102874756,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1849,474.09173583984375,2203.95751953125,1729.86572265625,0.10947807133197784,0.0,-0.0043755192309618,0.0,0.0,-0.4817218780517578,-0.4802769422531128,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1899,479.8154602050781,2329.625244140625,1849.809814453125,0.11686898022890091,0.0,-0.004491662140935659,0.0,0.0,-0.5026326775550842,-0.5095116496086121,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1949,494.636474609375,2276.048828125,1781.412353515625,0.11281534284353256,0.0,-0.004607568960636854,0.0,0.0,-0.49503636360168457,-0.49403995275497437,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5e-06,4.5e-06,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999,481.5806884765625,2199.580078125,1717.999267578125,0.10906543582677841,0.0,-0.0047234599478542805,0.0,0.0,-0.48920688033103943,-0.49216142296791077,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2039,,,,,,,,,,,4,,,,,,,,,,,0.1091248095035553,478.1101379394531,2196.14990234375,1717.556640625,0.48256421089172363,-0.004820807836949825,1.0,1.172669768333435,-0.49537989497184753,-0.48256421089172363,30.111417770385742,0.8023748993873596,0.10901480168104172,478.1101379394531,2194.33984375,1715.745849609375,0.4836724102497101,-0.004820807836949825,1.0,1.1726727485656738,-0.49537989497184753,-0.4836724102497101,30.111408233642578,0.8026217222213745
